execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_total_classif_types_p,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_total_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v_d,diff_pk_classes_types_v_d,diff_tk_classes_types_v_d,diff_tu_classes_types_p_d,diff_pk_classes_types_p_d,diff_tk_classes_types_p_d,diff_total_classif_types_v_d,diff_unknown_classif_types_v_d,diff_known_classif_types_v_d,diff_total_classif_types_p_d,diff_unknown_classif_types_p_d,diff_known_classif_types_p_d,incomplete_classes_found
1,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,11,3,1,73.33333333333333,20.0,6.666666666666667,210,196,14,210,169,41,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,80.47619047619048,19.523809523809526,-3,3,0,-20.0,20.0,0.0,0,-27,27,0.0,-12.857142857142847,12.857142857142858,4
2,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,9,5,1,60.0,33.33333333333333,6.666666666666667,210,196,14,210,171,39,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,81.42857142857143,18.571428571428573,-5,5,0,-33.33333333333333,33.33333333333333,0.0,0,-25,25,0.0,-11.904761904761898,11.904761904761905,1
3,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1
4,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1
5,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,8,6,1,53.333333333333336,40.0,6.666666666666667,210,196,14,210,146,64,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,69.52380952380952,30.476190476190478,-6,6,0,-39.99999999999999,40.0,0.0,0,-50,50,0.0,-23.80952380952381,23.80952380952381,4
6,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,12,2,1,80.0,13.333333333333334,6.666666666666667,210,196,14,210,178,32,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,84.76190476190476,15.238095238095239,-2,2,0,-13.333333333333329,13.333333333333334,0.0,0,-18,18,0.0,-8.57142857142857,8.571428571428573,3
7,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1
8,15,15,0,0,100.0,0.0,0.0,15,15,0,0,100.0,0.0,0.0,210,210,0,210,210,0,51.85185185185185,100.0,0.0,51.85185185185185,100.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
9,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,12,2,1,80.0,13.333333333333334,6.666666666666667,210,196,14,210,172,38,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,81.9047619047619,18.095238095238095,-2,2,0,-13.333333333333329,13.333333333333334,0.0,0,-24,24,0.0,-11.42857142857143,11.428571428571427,3
10,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,12,2,1,80.0,13.333333333333334,6.666666666666667,210,196,14,210,186,24,51.85185185185185,93.33333333333333,6.666666666666667,51.85185185185185,88.57142857142857,11.428571428571429,-2,2,0,-13.333333333333329,13.333333333333334,0.0,0,-10,10,0.0,-4.761904761904759,4.761904761904762,1
